Trading Name,Trading Code,CCY,Underlying Benchmark,Close,Last,Chng %,Val ($M),Yield (%),TER (%),Documents,Fund Manager,TR 1M (%),TR 3M (%),TR 1Y (%),Ann. TR 1Y (%),Ann. TR 3Y (%),Asset Class,Geographical Focus,Income Treatment,Sustainability linked,Management Style,CPF Eligibility,SIP/EIP,Tick Size
A Lion-Nomura Japan US$,JUS,USD,Topix Index,1.23,1.238,0.406,0.055091,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/106ab7ba095ffb30f2eaa986c985a4d9_173117/MR_SG_en_SGXC22115700_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/bb818dcd6beb38c6b9d7c0fd1451151a_829162/AR_SG_en_SGXC22115700_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-12-26): https://api.fundinfo.com/document/bc024ddf3f7a34f88e0cf3cacababd98_605204/PR_SG_en_SGXC22115700_YES_2025-12-26.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/360a9ac86c823679385a87a072938ee8_353119/SAR_SG_en_SGXC22115700_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-12-27): https://api.fundinfo.com/document/4ffb4a4a8b1b37f4e784ada68049d26e_112336/PHS_SG_en_SGXC22115700_YES_2024-12-27.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,1.65,9.76,36.52,36.29,,Equities,Japan,Accumulating,No,ACTIVE,No,EIP,0.001
IS ASIA HYG S$D,QL3,SGD,Bloomberg Asia USD High Yield Diversified Credit Index,8.66,8.66,0.116,0.04906591,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/f66acc3798d998e95ef22eace2ce2e44_254969/MR_SG_en_SG2D83975482_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG2D83975482_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2022-06-24): https://api.fundinfo.com/document/500e07cb91a371ffe733b8e1b63bdb25_834223/PR_SG_en_SG2D83975482_YES_2022-06-24.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),,,,,,Fixed Income,Asia,Distributing,No,PASSIVE,No,EIP,0.01
CSOP Star&Chinext50 S$,SCY,SGD,CSI STAR and ChiNext 50 Index,1.92,1.963,1.763,0.047189313,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/0e6cbdd900f9ba07316ac5d62e5baef1_301666/PHS_SG_en_SGXC15225995_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-05-08): https://api.fundinfo.com/document/209a3874b3a2cb0e4d06dc1319507f51_1820677/PR_SG_en_SGXC15225995_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/56b14697fa90505ad31e3caeb7335be4_509070/SAR_SG_en_SGXC15225995_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,,,,,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
PHIL-CU MS CHINA A50 S$,MCN,SGD,MSCI China A 50 Connect Index,1.524,1.534,0.788,0.036527824,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/f15f69d58d613dc9fdc7fae92059557f_525808/MR_SG_en_SGXC55887332_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2026-03-31): https://api.fundinfo.com/document/a5b179b7f5ed209f3b58366beb0b708b_516732/AR_SG_en_SGXC55887332_YES_2026-03-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-02-20): https://api.fundinfo.com/document/36636ebf5f71427e2510804a42125809_170450/PHS_SG_en_SGXC55887332_YES_2026-02-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-02-20): https://api.fundinfo.com/document/3461e8f6aa5470ea359d51d0e6227171_1101905/PR_SG_en_SGXC55887332_YES_2026-02-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-09-30): https://api.fundinfo.com/document/8a71892cc91243ce245593cdcd94373f_200754/SAR_SG_en_SGXC55887332_YES_2024-09-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Phillip Capital Management (S) Ltd,2.63,13.37,44.98,44.69,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
Amova-STC CN EV S$,EVS,SGD,MSCI China All Shares IMI Future Mobility Top 50 Index,0.625,0.608,-2.72,0.029614,,,Prospectus (2026-06-30): https://api.fundinfo.com/document/50fb3b85940f7f0383f822d038df190c_1242637/PR_SG_en_SGXC85425921_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-06-30): https://api.fundinfo.com/document/efc865b574115045d0fdb4b097810126_260536/PHS_SG_en_SGXC85425921_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Monthly Report (2026-05-31): https://api.fundinfo.com/document/77de77634e89f324896caa6a99382b38_221443/MR_SG_en_SGXC85425921_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/8f6f17d55e61fce17eabcbdffe9ddf29_5425678/AR_SG_en_SGXC85425921_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/665ea10344f8a30788c53ad38a79ba0c_2641388/SAR_SG_en_SGXC85425921_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,-8.99,0.65,39.3,39.3,7.5,Equities,China,Accumulating,Yes,PASSIVE,No,EIP,0.001
Lion SG Phy Gold US$,GLU,USD,LBMA Gold Price AM,4.44,4.418,-0.495,0.0251826,,,,,,,,,,COMMODITIES,Singapore,NA,,PASSIVE,N,EIP,
Lion-OSPL China L S$,YYY,SGD,Hang Seng Stock Connect China 80 Index,1.726,1.768,2.612,0.024203759,,,Prospectus (2026-06-26): https://api.fundinfo.com/document/0ee3b303a8e9fc0f106bb04b54af21ee_730773/PR_SG_en_SGXC42834322_YES_2026-06-26.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Monthly Report (2026-04-30): https://api.fundinfo.com/document/ab71a292a7378558717808575891df83_207640/MR_SG_en_SGXC42834322_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/e5566b575755c74c09ff026fc543e2d6_669991/AR_SG_en_SGXC42834322_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/9689904719c9cce0c08b7deaf33ccdf0_205689/SAR_SG_en_SGXC42834322_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-1.91,-2.17,10.9,10.9,9.79,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
UOBAM FTSE CN A50 S$,JK8,SGD,FTSE China A50 Index,2.507,2.54,1.236,0.02290246,,,Product Highlight Sheet (2026-03-23): https://api.fundinfo.com/document/928213b78323633700a1a9708b128586_264655/PHS_SG_en_SG1Y89950071_YES_2026-03-23.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-23): https://api.fundinfo.com/document/db3d0d77e6d023eb1a5ee4359a2c83b5_699627/PR_SG_en_SG1Y89950071_YES_2026-03-23.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-06-30): https://api.fundinfo.com/document/da3f52e81cf1216c37108dc84a5c2c30_140080/AR_SG_en_SG1Y89950071_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,,,,,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
AmovaEFund ChiNext S$,CXT,SGD,ChiNext Index,1.753,1.73,-1.143,0.02235007,,,,Amova Asset Management Asia Limited,,,,,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
Amundi EM Mkt Sw US$,H1N,USD,MSCI Emerging Market Net Total Return Index,21.58,21.62,-0.323,0.02152162,,,Monthly Report (2026-06-30): https://api.fundinfo.com/document/a651c6f7b7ae1bb1802628edd7002fff_428743/MR_SG_en_FR0010435297_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amundi Asset Management,0.52,15.09,47.48,47.48,22.41,Equities,Emerging Markets,Accumulating,No,PASSIVE,No,SIP,0.01
CF VN 30 SC ETF SG$,VNM,SGD,iEdge Vietnam 30 Sector Cap USD Index (NTR),1.74,1.733,-1.646,0.013798146,,,,CGS International,-4.81,1.75,34.78,34.56,,Equities,Vietnam,Accumulating,No,PASSIVE,No,EIP,0.001
ISHARES AXJCLIMATE S$,ICM,SGD,MSCI AC Asia ex Japan Climate Action Index,1.967,1.957,-0.306,0.009806763,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/6994d76bab8a680893a4ed09bf12d331_203054/MR_SG_en_SGXC39575946_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SGXC39575946_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),,,,,,Equities,Asia,Distributing,Yes,PASSIVE,No,EIP,0.001
PHIL SING INC,OVQ,SGD,Morningstar® Singapore Yield Focus Index,1.575,1.585,0.571,0.00681435,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/4014b14c448bc6749f93576b5f53c927_563659/MR_SG_en_SGXC25065050_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/48c2c48b96c7e5f15d61fc4e7d11e161_839182/AR_SG_en_SGXC25065050_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/e251bb23e19866cd91c96920f15c56df_551398/SAR_SG_en_SGXC25065050_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-09-18): https://api.fundinfo.com/document/33e53bc44b793b7889a37798a7ac283c_192723/PHS_SG_en_SGXC25065050_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2024-09-18): https://api.fundinfo.com/document/642f6e30d455f9f92516cd3846ebb299_1038557/PR_SG_en_SGXC25065050_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Phillip Capital Management (S) Ltd,0.87,6.25,24.39,24.39,19.39,Equities,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
CSOP CS A500 ETF S$,SUN,SGD,CSI A500 Index,1.028,1.03,0,0.005562,,,,CSOP Asset Management Pte. Ltd.,,,,,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
SS SPDR DJIA USD,D07,USD,Dow Jones Industrial AverageSM (DJIASM) Index,531.86,530.64,-0.267,0.0053064,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/03ca8c3bfba13699f555ff1bfb55649e_112096/MR_SG_en_US78467X1090_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-02-25): https://api.fundinfo.com/document/ae1f54df40b9e49e998873b978656b17_175210/PHS_SG_en_US78467X1090_YES_2026-02-25.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-10-31): https://api.fundinfo.com/document/299969934f32684b998cc415228eeee9_199403/AR_SG_en_US78467X1090_YES_2024-10-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-04-30): https://api.fundinfo.com/document/7b460ceba9ce78ebe03595786e7735eb_126671/SAR_SG_en_US78467X1090_YES_2024-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-03-01): https://api.fundinfo.com/document/628273836f949ea5e3755b8dc4dcb635_632247/PR_SG_en_US78467X1090_YES_2023-03-01.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,State Street Investment Management,2.77,7.53,20.78,20.78,16.52,Equities,USA,Distributing,No,PASSIVE,No,SIP,0.01
UOB AP GRN REIT S$,GRN,SGD,iEdge-UOB APAC Yield Focus Green REIT Index,0.702,0.702,-0.426,0.002457,,,Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/0371f5079c681f96f0821eb14bf03254_80132/SAR_SG_en_SGXC32426998_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-25): https://api.fundinfo.com/document/01e0da9df68acc0769d61acb4de52706_248532/PHS_SG_en_SGXC32426998_YES_2025-09-25.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-01): https://api.fundinfo.com/document/ee802eb1a082fafe0ea2d1d28e82af20_754056/PR_SG_en_SGXC32426998_YES_2025-09-01.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/5c36a5fbace5f8fe5ed0b705f39c8502_158735/AR_SG_en_SGXC32426998_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,-3.15,-5.2,0.39,0.39,1.38,REITs,Asia Pacific,Distributing,Yes,PASSIVE,No,EIP,0.001
IS ASIA BND S$D,QL2,SGD,J.P. Morgan Asia Credit Index - Core,12.73,12.78,0.314,0.00209918,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/35a9d6bfeb6ad44e1019c72929f12635_267988/MR_SG_en_SG2D32970329_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-06-12): https://api.fundinfo.com/document/5d35048bce3fddcd333d3d8a200ef5b4_185376/PHS_SG_en_SG2D32970329_YES_2025-06-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-12-31): https://api.fundinfo.com/document/70e705441f4f69c0f6e9cdaf8999219e_644804/AR_SG_en_SG2D32970329_YES_2024-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG2D32970329_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2022-06-24): https://api.fundinfo.com/document/500e07cb91a371ffe733b8e1b63bdb25_834223/PR_SG_en_SG2D32970329_YES_2022-06-24.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),,,,,,Fixed Income,Asia,Distributing,No,PASSIVE,No,EIP,0.01
UOBAM PINGAN CHINEXT S$,CXS,SGD,ChiNext Index,1.306,1.289,-0.386,0.00021955,,,Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/c94cb8cea02d5bcc443a940a2d18ca35_79844/SAR_SG_en_SGXC54700155_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-12-11): https://api.fundinfo.com/document/15c24f8e327d998cebe9fa9a48272cc7_251372/PHS_SG_en_SGXC54700155_YES_2025-12-11.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-12-11): https://api.fundinfo.com/document/404d321c04fbaf6be354f9b83a8999bd_753660/PR_SG_en_SGXC54700155_YES_2025-12-11.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/9eb90285e91aff62ecbd0de28b9b95ac_152930/AR_SG_en_SGXC54700155_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,1.9,19.2,84.78,84.16,16.24,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
XT MS SING US$,O9A,USD,MSCI Singapore Investable Market Total Return Net Index,2.581,2.599,3.587,0.00012995,,,Product Highlight Sheet (2026-06-18): https://api.fundinfo.com/document/259998e593572961d6ba4ce7fd21fd0c_56641/PHS_SG_en_LU0659578842_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-06-18): https://api.fundinfo.com/document/524b6958a32c40db4e7bcd7570f4a7b0_4365618/PR_SG_en_LU0659578842_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/b19b04bab7cd60922c0d96d7b2e2f774_3608253/AR_SG_en_LU0659578842_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/8d845f18dc319ce0fde262920a164de6_1349897/SAR_SG_en_LU0659578842_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,DWS Investments,0.92,4.89,16.44,16.44,20.62,Equities,Singapore,Accumulating,No,PASSIVE,No,EIP,0.001
Lion-CM CSI Div S$,INC,SGD,CSI Dividend Index,0.995,0.998,-0.795,0.0000998,,,,Lion Global Investors Limited,0.76,-0.19,9.78,9.78,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
PHIL AP DIV REIT US$,BYI,USD,iEdge APAC ex Japan Dividend Leaders REIT Index,0.865,0.865,0.581,0.0000865,,,,Phillip Capital Management (S) Ltd,,,,,,REITs,Asia Pacific,Distributing,No,PASSIVE,No,EIP,0.001
Amova-ICBCSG CNB CNY,ZHY,CNH,ChinaBond ICBC 1-10 Year Treasury and Policy Bank Bond Index,6.12,6.1,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/902cbce03a65dbf2b527e2aa7f872eb9_255643/MR_SG_en_SGXC29409643_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/570daa3727e371337a626c6efa51b328_5613003/AR_SG_en_SGXC29409643_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-18): https://api.fundinfo.com/document/507cc40fae0d43b85c21bbab5accfeb8_246026/PHS_SG_en_SGXC29409643_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-18): https://api.fundinfo.com/document/8ed0b5d7d316b14b14dd64e4726fe6b9_1190395/PR_SG_en_SGXC29409643_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/f301c85fc01b4c94d77eda1fd47899e2_2342755/SAR_SG_en_SGXC29409643_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,,,,,,Fixed Income,China,Accumulating,No,PASSIVE,No,EIP,0.01
Amova-ICBCSG CNB S$,ZHS,SGD,ChinaBond ICBC 1-10 Year Treasury and Policy Bank Bond Index,0.98,0.979,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/902cbce03a65dbf2b527e2aa7f872eb9_255643/MR_SG_en_SGXC30096447_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/570daa3727e371337a626c6efa51b328_5613003/AR_SG_en_SGXC30096447_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-18): https://api.fundinfo.com/document/507cc40fae0d43b85c21bbab5accfeb8_246026/PHS_SG_en_SGXC30096447_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-18): https://api.fundinfo.com/document/8ed0b5d7d316b14b14dd64e4726fe6b9_1190395/PR_SG_en_SGXC30096447_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/f301c85fc01b4c94d77eda1fd47899e2_2342755/SAR_SG_en_SGXC30096447_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,2.39,3.66,8.01,7.97,3.39,Fixed Income,China,Distributing,No,PASSIVE,No,EIP,0.001
Amova-ICBCSG CNB US$,ZHD,USD,ChinaBond ICBC 1-10 Year Treasury and Policy Bank Bond Index,0.899,0.83,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/902cbce03a65dbf2b527e2aa7f872eb9_255643/MR_SG_en_SGXC29409643_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/570daa3727e371337a626c6efa51b328_5613003/AR_SG_en_SGXC29409643_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-18): https://api.fundinfo.com/document/507cc40fae0d43b85c21bbab5accfeb8_246026/PHS_SG_en_SGXC29409643_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-18): https://api.fundinfo.com/document/8ed0b5d7d316b14b14dd64e4726fe6b9_1190395/PR_SG_en_SGXC29409643_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/f301c85fc01b4c94d77eda1fd47899e2_2342755/SAR_SG_en_SGXC29409643_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,,,,,,Fixed Income,China,Accumulating,No,PASSIVE,No,EIP,0.001
Amova-STC A_REIT US$,COI,USD,FTSE EPRA/NAREIT Asia ex Japan Net Total Return REIT Index,0.608,0.608,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/85d1e94f86b2f08569b0ae579db268aa_244231/MR_SG_en_SG1DE9000003_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/445ae4d53c62c31f6bf3cdb1a1625e31_1297793/SAR_SG_en_SG1DE9000003_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-18): https://api.fundinfo.com/document/9d5c2540bf7b39a6ac617f1543c8cb55_1281788/PR_SG_en_SG1DE9000003_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-18): https://api.fundinfo.com/document/f7fa10fc14a51d995319f895aeba1740_257852/PHS_SG_en_SG1DE9000003_YES_2025-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/9ff79ee159cc711a7c13eee36635eba2_1281187/AR_SG_en_SG1DE9000003_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,,,,,,REITs,Asia,Distributing,No,PASSIVE,Yes,EIP,0.001
Amova-STC CN EV US$,EVD,USD,MSCI China All Shares IMI Future Mobility Top 50 Index,0.479,0.493,0,0,,,Prospectus (2026-06-30): https://api.fundinfo.com/document/50fb3b85940f7f0383f822d038df190c_1242637/PR_SG_en_SGXC85425921_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-06-30): https://api.fundinfo.com/document/efc865b574115045d0fdb4b097810126_260536/PHS_SG_en_SGXC85425921_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Monthly Report (2026-05-31): https://api.fundinfo.com/document/77de77634e89f324896caa6a99382b38_221443/MR_SG_en_SGXC85425921_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/8f6f17d55e61fce17eabcbdffe9ddf29_5425678/AR_SG_en_SGXC85425921_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/665ea10344f8a30788c53ad38a79ba0c_2641388/SAR_SG_en_SGXC85425921_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amova Asset Management Asia Limited,,,,,,Equities,China,Accumulating,Yes,PASSIVE,No,EIP,0.001
AmovaEFund ChiNext CNY,CXN,CNH,ChiNext Index,1.75,1.807,0,0,,,,Amova Asset Management Asia Limited,,,,,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
AmovaEFund ChiNext US$,CXO,USD,ChiNext Index,0.256,0.268,0,0,,,,Amova Asset Management Asia Limited,,,,,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
Amundi MSIndia Sw US$,G1N,USD,MSCI India Net Total Return Index,29.58,29.5,0,0,,,Monthly Report (2026-06-30): https://api.fundinfo.com/document/861537c76d51ae92e10cae6270141ffc_416493/MR_SG_en_FR0010375766_YES_2026-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-05-02): https://api.fundinfo.com/document/253737e5385284ed68908bed486ab008_515335/PHS_SG_en_FR0010375766_YES_2024-05-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Amundi Asset Management,-3.69,-5.38,-14.32,-14.32,4.74,Equities,India,Accumulating,No,PASSIVE,No,SIP,0.01
CF VN 30 SC ETF US$,VND,USD,iEdge Vietnam 30 Sector Cap USD Index (NTR),1.347,1.336,0,0,,,,CGS International,-5.88,-1.81,35.59,35.37,,Equities,Vietnam,Accumulating,No,PASSIVE,No,EIP,0.001
CGS FG CSI1000 S$,GRO,SGD,CSI 1000 Index,1.843,1.967,0,0,,,,CGS International,5.31,6.74,49.6,49.28,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
CGS FG CSI1000 US$,GRU,USD,CSI 1000 Index,1.426,1.483,0,0,,,,CGS International,0,0.79,46.54,46.24,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
